timestamp,px,py,vx,vy,pm1,pm2,pm3,pm4,vm1,vm2,vm3,vm4
1759984079.6746845,0.0,0.0,0.0,0.0,145,134,145,-41,0,0,0,0
1759984079.6849291,0.0,0.0,0.0,0.0,46,-58,79,101,0,0,0,0
1759984079.6952894,0.0,0.0,0.0,0.0,-39,2,-142,-69,0,0,0,0
1759984079.705622,0.0,0.0,0.0,0.0,-117,80,-138,-141,0,0,0,0
1759984079.7161934,0.0,0.0,0.0,0.0,62,144,71,-77,0,0,0,0
1759984079.7269635,0.0,0.0,0.0,0.0,-64,30,-108,-80,0,0,0,0
1759984079.7374096,0.0,0.0,0.0,0.0,74,52,19,105,0,0,0,0
1759984079.7476292,0.0,0.0,0.0,0.0,-120,-88,-16,-63,0,0,0,0
1759984079.757804,0.0,0.0,0.0,0.0,-8,-105,-104,129,0,0,0,0
1759984079.7681372,0.0,0.0,0.0,0.0,133,90,-121,13,0,0,0,0
1759984079.7790742,0.0,0.0,0.0,0.0,-138,-118,-117,95,0,0,0,0
1759984079.7893808,0.0,0.0,0.0,0.0,35,69,-22,0,0,0,0,0
1759984079.7996323,0.0,0.0,0.0,0.0,-46,-74,-127,50,0,0,0,0
1759984079.809838,0.0,0.0,0.0,0.0,-143,-39,-141,-109,0,0,0,0
1759984079.8203564,0.0,0.0,0.0,0.0,21,-5,-112,128,0,0,0,0
1759984079.8311837,0.0,0.0,0.0,0.0,41,90,-99,-69,0,0,0,0
1759984079.8413796,0.0,0.0,0.0,0.0,-120,-61,137,8,0,0,0,0
1759984079.8516214,0.0,0.0,0.0,0.0,-10,-136,141,-108,0,0,0,0
1759984079.8618343,0.0,0.0,0.0,0.0,40,17,125,-125,0,0,0,0
1759984079.8720553,0.0,0.0,0.0,0.0,-10,-132,-37,107,0,0,0,0
1759984079.8824728,0.0,0.0,0.0,0.0,71,-94,-111,62,0,0,0,0
1759984079.8926594,0.0,0.0,0.0,0.0,83,-24,43,-104,0,0,0,0
1759984079.902856,0.0,0.0,0.0,0.0,-89,-71,133,-11,0,0,0,0
1759984079.913229,0.0,0.0,0.0,0.0,-13,-133,-138,39,0,0,0,0
1759984079.924384,0.0,0.0,0.0,0.0,19,112,-16,-142,0,0,0,0
1759984079.9352665,0.0,0.0,0.0,0.0,111,-32,-133,87,0,0,0,0
1759984079.945451,0.0,0.0,0.0,0.0,137,136,-122,-96,0,0,0,0
1759984079.9557443,0.0,0.0,0.0,0.0,-111,147,87,-129,0,0,0,0
1759984079.966156,0.0,0.0,0.0,0.0,17,47,-78,5,0,0,0,0
1759984079.9765215,0.0,0.0,0.0,0.0,2,-85,-140,-146,0,0,0,0
1759984079.987336,0.0,0.0,0.0,0.0,-13,42,-43,-96,0,0,0,0
1759984079.9975748,0.0,0.0,0.0,0.0,59,95,94,-141,0,0,0,0
1759984080.0078433,0.0,0.0,0.0,0.0,-18,-29,102,81,0,0,0,0
1759984080.0181022,0.0,0.0,0.0,0.0,63,108,-61,-98,0,0,0,0
1759984080.0284712,0.0,0.0,0.0,0.0,-75,104,61,-43,0,0,0,0
1759984080.0394409,0.0,0.0,0.0,0.0,-29,-113,17,-119,0,0,0,0
1759984080.0498734,0.0,0.0,0.0,0.0,-54,107,112,52,0,0,0,0
1759984080.0601149,0.0,0.0,0.0,0.0,-37,-140,-64,-14,0,0,0,0
1759984080.070324,0.0,0.0,0.0,0.0,-12,-79,113,17,0,0,0,0
1759984080.0805585,0.0,0.0,0.0,0.0,-104,-93,9,115,0,0,0,0
1759984080.0911562,0.0,0.0,0.0,0.0,-23,-87,-55,91,0,0,0,0
1759984080.1013887,0.0,0.0,0.0,0.0,-66,72,80,100,0,0,0,0
1759984080.111618,0.0,0.0,0.0,0.0,32,-121,-141,-131,0,0,0,0
1759984080.1217964,0.0,0.0,0.0,0.0,145,91,-140,74,0,0,0,0
1759984080.1321788,0.0,0.0,0.0,0.0,25,61,14,-133,0,0,0,0
1759984080.142852,0.0,0.0,0.0,0.0,-1,-92,-131,-37,0,0,0,0
1759984080.1531203,0.0,0.0,0.0,0.0,-142,-66,-27,-121,0,0,0,0
1759984080.1636648,0.0,0.0,0.0,0.0,-72,-29,101,134,0,0,0,0
1759984080.1740112,0.0,0.0,0.0,0.0,7,-132,50,30,0,0,0,0
1759984080.1844754,0.0,0.0,0.0,0.0,149,-133,11,-40,0,0,0,0
1759984080.1953914,0.0,0.0,0.0,0.0,45,-123,5,118,0,0,0,0
1759984080.205629,0.0,0.0,0.0,0.0,-97,101,-145,98,0,0,0,0
1759984080.21599,0.0,0.0,0.0,0.0,33,-28,97,141,0,0,0,0
1759984080.2263813,0.0,0.0,0.0,0.0,-102,118,-128,-38,0,0,0,0
1759984080.237154,0.0,0.0,0.0,0.0,88,6,-140,74,0,0,0,0
1759984080.2480912,0.0,0.0,0.0,0.0,76,112,25,129,0,0,0,0
1759984080.2584968,0.0,0.0,0.0,0.0,-98,-61,18,-130,0,0,0,0
1759984080.2689624,0.0,0.0,0.0,0.0,-109,82,-42,125,0,0,0,0
1759984080.279473,0.0,0.0,0.0,0.0,-77,133,140,97,0,0,0,0
1759984080.2898703,0.0,0.0,0.0,0.0,-88,-15,127,57,0,0,0,0
1759984080.3004255,0.0,0.0,0.0,0.0,-99,141,49,121,0,0,0,0
1759984080.3106668,0.0,0.0,0.0,0.0,115,122,47,-31,0,0,0,0
1759984080.3208752,0.0,0.0,0.0,0.0,-71,90,-60,-3,0,0,0,0
1759984080.3312507,0.0,0.0,0.0,0.0,-25,-70,61,0,0,0,0,0
1759984080.342168,0.0,0.0,0.0,0.0,117,40,134,1,0,0,0,0
1759984080.3529584,0.0,0.0,0.0,0.0,-65,-1,72,25,0,0,0,0
1759984080.3633096,0.0,0.0,0.0,0.0,7,-40,3,87,0,0,0,0
1759984080.373579,0.0,0.0,0.0,0.0,-141,102,-97,5,0,0,0,0
1759984080.3838398,0.0,0.0,0.0,0.0,34,-119,-102,-122,0,0,0,0
1759984080.394076,0.0,0.0,0.0,0.0,125,89,-94,-10,0,0,0,0
1759984080.4047582,0.0,0.0,0.0,0.0,40,116,81,138,0,0,0,0
1759984080.415122,0.0,0.0,0.0,0.0,133,-63,47,59,0,0,0,0
1759984080.4253879,0.0,0.0,0.0,0.0,-1,-58,-14,39,0,0,0,0
1759984080.435777,0.0,0.0,0.0,0.0,-90,88,124,100,0,0,0,0
1759984080.4461834,0.0,0.0,0.0,0.0,0,-77,34,100,0,0,0,0
1759984080.4567351,0.0,0.0,0.0,0.0,-133,-113,116,123,0,0,0,0
1759984080.4669502,0.0,0.0,0.0,0.0,83,-103,149,10,0,0,0,0
1759984080.4772766,0.0,0.0,0.0,0.0,32,-47,50,-52,0,0,0,0
1759984080.4875362,0.0,0.0,0.0,0.0,-38,23,-112,19,0,0,0,0
1759984080.4978426,0.0,0.0,0.0,0.0,-123,63,-144,5,0,0,0,0
1759984080.5084026,0.0,0.0,0.0,0.0,-13,7,108,17,0,0,0,0
1759984080.5186095,0.0,0.0,0.0,0.0,-117,132,-116,-23,0,0,0,0
1759984080.5289106,0.0,0.0,0.0,0.0,105,-133,130,101,0,0,0,0
1759984080.5393457,0.0,0.0,0.0,0.0,83,-2,-64,31,0,0,0,0
1759984080.5501852,0.0,0.0,0.0,0.0,-134,-34,-144,-91,0,0,0,0
1759984080.56081,0.0,0.0,0.0,0.0,-90,-110,-125,3,0,0,0,0
1759984080.5723464,0.0,0.0,0.0,0.0,52,61,35,58,0,0,0,0
1759984080.5828586,0.0,0.0,0.0,0.0,-131,108,-33,-26,0,0,0,0
1759984080.5932066,0.0,0.0,0.0,0.0,-79,14,69,-34,0,0,0,0
1759984080.6035364,0.0,0.0,0.0,0.0,-90,111,-132,9,0,0,0,0
1759984080.614467,0.0,0.0,0.0,0.0,115,46,-68,-26,0,0,0,0
1759984080.62468,0.0,0.0,0.0,0.0,73,108,13,-75,0,0,0,0
1759984080.6349306,0.0,0.0,0.0,0.0,75,133,4,-111,0,0,0,0
1759984080.6454232,0.0,0.0,0.0,0.0,-89,147,27,82,0,0,0,0
1759984080.6563137,0.0,0.0,0.0,0.0,-20,-17,-35,103,0,0,0,0
1759984080.6668475,0.0,0.0,0.0,0.0,-100,143,136,76,0,0,0,0
1759984080.6771305,0.0,0.0,0.0,0.0,12,-9,-37,50,0,0,0,0
1759984080.6877203,0.0,0.0,0.0,0.0,54,-139,39,-85,0,0,0,0
1759984080.6980433,0.0,0.0,0.0,0.0,91,131,-144,-104,0,0,0,0
